A;Praha;Praha;http://en.wikipedia.org/wiki/Prague
B;South Moravian Region;Blansko, Boskovice, Brno, Břeclav, Bučovice, Hodonín, Hustopeče, Ivančice, Kuřim, Kyjov, Mikulov, Moravský Krumlov, Pohořelice, Rosice, Slavkov u Brna, Šlapanice, Tišnov, Veselí nad Moravou, Vyškov, Znojmo, Židlochovice;http://en.wikipedia.org/wiki/South_Moravian_Region
C;South Bohemian Region;České Budějovice, Tábor, Písek, Strakonice, Jindřichův Hradec, Český Krumlov, Prachatice, Milevsko, Třeboň, Týn nad Vltavou, Vimperk, Dačice, Kaplice, Soběslav, Sezimovo Ústí, Vodňany, Blatná, Veselí nad Lužnicí, Bechyně, Protivín;http://en.wikipedia.org/wiki/South_Bohemian_Region
E;Pardubice Region;Pardubice, Česká Třebová, Chrudim, Holice, Hlinsko, Králíky, Lanškroun, Litomyšl, Moravská Třebová, Polička, Přelouč, Svitavy, Ústí nad Orlicí, Vysoké Mýto, Žamberk;http://en.wikipedia.org/wiki/Pardubice_Region
H;Hradec Králové Region;Broumov, Dobruška, Dvůr Králové nad Labem, Hořice, Hradec Králové, Jaroměř, Jičín, Kostelec nad Orlicí, Náchod, Nová Paka, Nové Město nad Metují, Nový Bydžov, Rychnov nad Kněžnou, Trutnov, Vrchlabí;http://en.wikipedia.org/wiki/Hradec_Kr%C3%A1lov%C3%A9_Region
J;Vysočina Region;Jihlava, Bystřice nad Pernštejnem, Chotěboř, Havlíčkův Brod, Humpolec, Moravské Budějovice, Náměšť nad Oslavou, Nové Město na Moravě, Pacov, Pelhřimov, Polná, Světlá nad Sázavou, Telč, Třebíč, Velké Meziříčí, Žďár nad Sázavou;http://en.wikipedia.org/wiki/Vyso%C4%8Dina_Region
K;Karlovy Vary Region;Karlovy Vary, Aš, Cheb, Chodov, Františkovy Lázně, Jáchymov, Kraslice, Loket, Luby u Chebu, Mariánské Lázně, Nejdek, Ostrov, Skalná, Sokolov;http://en.wikipedia.org/wiki/Karlovy_Vary_Region
L;Liberec Region;Liberec, Frýdlant, Hrádek nad Nisou, Chrastava, Česká Lípa, Nový Bor, Mimoň, Doksy, Jablonec nad Nisou, Tanvald, Železný Brod, Turnov, Semily, Lomnice nad Popelkou, Jilemnice;http://en.wikipedia.org/wiki/Liberec_Region
M;Olomouc Region;Olomouc, Přerov, Prostějov, Šumperk, Jeseník, Hranice, Konice, Lipník nad Bečvou, Litovel, Mohelnice, Šternberk, Uničov, Zábřeh;http://en.wikipedia.org/wiki/Olomouc_Region
P;Plzeň Region;Domažlice, Klatovy, Plzeň, Rokycany, Tachov, Blovice, Domažlice, Horažďovice, Horšovský Týn, Klatovy, Nepomuk, Nýřany, Přeštice, Rokycany, Kralovice, Stod, Stříbro, Sušice, Tachov;http://en.wikipedia.org/wiki/Plze%C5%88_Region
S;Central Bohemian Region;Odolena Voda, Beroun, Benešov, Brandýs nad Labem-Stará Boleslav, Čáslav, Dobřichovice, Dobříš, Kladno, Kolín, Kostelec nad Černými lesy, Kralupy nad Vltavou, Kutná Hora, Mělník, Mladá Boleslav, Mnichovice, Nymburk, Poděbrady, Příbram, Rakovník, Říčany, Slaný, Vlašim;http://en.wikipedia.org/wiki/Central_Bohemian_Region
T;Moravian-Silesian Region;Bílovec, Bohumín, Bruntál, Český Těšín, Frenštát pod Radhoštěm, Frýdek-Místek, Frýdlant nad Ostravicí, Havířov, Hlučín, Jablunkov, Karviná, Kopřivnice, Kravaře, Krnov, Nový Jičín, Odry, Opava, Orlová, Ostrava, Rýmařov, Třinec, Vítkov;http://en.wikipedia.org/wiki/Moravian-Silesian_Region
U;Ústí nad Labem Region;Bílina, Česká Kamenice, Děčín, Chomutov, Jirkov, Kadaň, Louny, Lovosice, Litoměřice, Litvínov, Most, Roudnice nad Labem, Rumburk, Štětí, Teplice, Terezín, Ústí nad Labem, Varnsdorf, Žatec;http://en.wikipedia.org/wiki/%C3%9Ast%C3%AD_nad_Labem_Region
Z;Zlín Region;Zlín, Brumov-Bylnice, Bystřice pod Hostýnem, Chropyně, Holešov, Hulín, Kroměříž, Kunovice, Luhačovice, Napajedla, Otrokovice, Rožnov pod Radhoštěm, Slavičín, Staré Město, Uherské Hradiště, Uherský Brod, Valašské Klobouky, Valašské Meziříčí, Vsetín;http://en.wikipedia.org/wiki/Zl%C3%ADn_Region
